MVNR01018673.1	orpheusFish_scaffold18673
MVNR01007355.1	orpheusFish_scaffold7355
MVNR01021354.1	orpheusFish_scaffold21354
MVNR01028764.1	orpheusFish_scaffold28764
MVNR01004053.1	NW_019033169.1
MVNR01021364.1	NW_019050480.1
MVNR01005030.1	NW_019034146.1
MVNR01002538.1	NW_019031654.1
MVNR01021333.1	NW_019050449.1
MVNR01000179.1	orpheusFish_scaffold179
MVNR01029585.1	NW_019058701.1
MVNR01005858.1	NW_019034974.1
MVNR01008205.1	NW_019037321.1
MVNR01009864.1	orpheusFish_scaffold9864
MVNR01026739.1	orpheusFish_scaffold26739
MVNR01018891.1	orpheusFish_scaffold18891
MVNR01025420.1	orpheusFish_scaffold25420
MVNR01002457.1	NW_019031573.1
MVNR01002517.1	orpheusFish_scaffold2517
MVNR01012558.1	NW_019041674.1
MVNR01000858.1	orpheusFish_scaffold858
MVNR01020500.1	NW_019049616.1
MVNR01001810.1	orpheusFish_scaffold1810
MVNR01021725.1	NW_019050841.1
MVNR01018023.1	orpheusFish_scaffold18023
MVNR01019316.1	NW_019048432.1
MVNR01018460.1	NW_019047576.1
MVNR01017217.1	NW_019046333.1
MVNR01026483.1	NW_019055599.1
MVNR01013727.1	orpheusFish_scaffold13727
MVNR01030164.1	NW_019059280.1
MVNR01015638.1	NW_019044754.1
MVNR01023219.1	orpheusFish_scaffold23219
MVNR01029102.1	orpheusFish_scaffold29102
MVNR01003051.1	NW_019032167.1
MVNR01015976.1	orpheusFish_scaffold15976
MVNR01011258.1	NW_019040374.1
MVNR01009050.1	NW_019038166.1
MVNR01010774.1	NW_019039890.1
MVNR01027639.1	orpheusFish_scaffold27639
MVNR01019834.1	NW_019048950.1
MVNR01013855.1	NW_019042971.1
MVNR01005464.1	orpheusFish_scaffold5464
MVNR01017139.1	orpheusFish_scaffold17139
MVNR01008083.1	orpheusFish_scaffold8083
MVNR01024280.1	NW_019053396.1
MVNR01019771.1	orpheusFish_scaffold19771
MVNR01014860.1	NW_019043976.1
MVNR01025888.1	NW_019055004.1
MVNR01024183.1	NW_019053299.1
MVNR01023560.1	NW_019052676.1
MVNR01004547.1	NW_019033663.1
MVNR01013710.1	NW_019042826.1
MVNR01021416.1	orpheusFish_scaffold21416
MVNR01029413.1	orpheusFish_scaffold29413
MVNR01013927.1	orpheusFish_scaffold13927
MVNR01002269.1	NW_019031385.1
MVNR01019675.1	orpheusFish_scaffold19675
MVNR01017061.1	orpheusFish_scaffold17061
MVNR01027597.1	orpheusFish_scaffold27597
MVNR01021206.1	orpheusFish_scaffold21206
MVNR01014602.1	orpheusFish_scaffold14602
MVNR01026921.1	NW_019056037.1
MVNR01025872.1	orpheusFish_scaffold25872
MVNR01019149.1	orpheusFish_scaffold19149
MVNR01029907.1	NW_019059023.1
MVNR01022107.1	orpheusFish_scaffold22107
MVNR01007608.1	orpheusFish_scaffold7608
MVNR01006892.1	orpheusFish_scaffold6892
MVNR01010218.1	orpheusFish_scaffold10218
MVNR01030315.1	orpheusFish_scaffold30315
MVNR01026533.1	NW_019055649.1
MVNR01018520.1	orpheusFish_scaffold18520
MVNR01025617.1	NW_019054733.1
MVNR01026534.1	NW_019055650.1
MVNR01008116.1	orpheusFish_scaffold8116
MVNR01015576.1	NW_019044692.1
MVNR01019711.1	NW_019048827.1
MVNR01029678.1	orpheusFish_scaffold29678
MVNR01011905.1	orpheusFish_scaffold11905
MVNR01018732.1	orpheusFish_scaffold18732
MVNR01002593.1	orpheusFish_scaffold2593
MVNR01006486.1	NW_019035602.1
MVNR01029545.1	orpheusFish_scaffold29545
MVNR01016611.1	orpheusFish_scaffold16611
MVNR01027824.1	orpheusFish_scaffold27824
MVNR01005611.1	orpheusFish_scaffold5611
MVNR01013358.1	NW_019042474.1
MVNR01015005.1	NW_019044121.1
MVNR01020275.1	NW_019049391.1
MVNR01024390.1	orpheusFish_scaffold24390
MVNR01026192.1	NW_019055308.1
MVNR01008607.1	orpheusFish_scaffold8607
MVNR01030269.1	orpheusFish_scaffold30269
MVNR01009322.1	orpheusFish_scaffold9322
MVNR01006468.1	NW_019035584.1
MVNR01014418.1	orpheusFish_scaffold14418
MVNR01015466.1	NW_019044582.1
MVNR01019855.1	NW_019048971.1
MVNR01018373.1	NW_019047489.1
MVNR01004793.1	orpheusFish_scaffold4793
MVNR01011292.1	orpheusFish_scaffold11292
MVNR01014077.1	orpheusFish_scaffold14077
MVNR01025122.1	orpheusFish_scaffold25122
MVNR01001257.1	NW_019030373.1
MVNR01006444.1	NW_019035560.1
MVNR01008706.1	orpheusFish_scaffold8706
MVNR01008867.1	orpheusFish_scaffold8867
MVNR01005227.1	NW_019034343.1
MVNR01003146.1	orpheusFish_scaffold3146
MVNR01019519.1	orpheusFish_scaffold19519
MVNR01022060.1	NW_019051176.1
MVNR01001930.1	NW_019031046.1
MVNR01016983.1	NW_019046099.1
MVNR01007742.1	orpheusFish_scaffold7742
MVNR01013352.1	orpheusFish_scaffold13352
MVNR01009519.1	NW_019038635.1
MVNR01018260.1	orpheusFish_scaffold18260
MVNR01023240.1	orpheusFish_scaffold23240
MVNR01023954.1	orpheusFish_scaffold23954
MVNR01025288.1	NW_019054404.1
MVNR01019050.1	NW_019048166.1
MVNR01016125.1	NW_019045241.1
MVNR01001560.1	NW_019030676.1
MVNR01007091.1	orpheusFish_scaffold7091
MVNR01025299.1	NW_019054415.1
MVNR01021366.1	NW_019050482.1
MVNR01016647.1	orpheusFish_scaffold16647
MVNR01009811.1	NW_019038927.1
MVNR01010966.1	orpheusFish_scaffold10966
MVNR01027555.1	orpheusFish_scaffold27555
MVNR01018008.1	orpheusFish_scaffold18008
MVNR01009391.1	NW_019038507.1
MVNR01016233.1	orpheusFish_scaffold16233
MVNR01007065.1	orpheusFish_scaffold7065
MVNR01008415.1	NW_019037531.1
MVNR01009054.1	orpheusFish_scaffold9054
MVNR01028261.1	orpheusFish_scaffold28261
MVNR01001087.1	orpheusFish_scaffold1087
MVNR01017839.1	orpheusFish_scaffold17839
MVNR01001117.1	NW_019030233.1
MVNR01001383.1	NW_019030499.1
MVNR01008098.1	orpheusFish_scaffold8098
MVNR01026035.1	orpheusFish_scaffold26035
MVNR01019925.1	NW_019049041.1
MVNR01025736.1	NW_019054852.1
MVNR01009359.1	NW_019038475.1
MVNR01009375.1	orpheusFish_scaffold9375
MVNR01012806.1	NW_019041922.1
MVNR01008748.1	orpheusFish_scaffold8748
MVNR01006509.1	orpheusFish_scaffold6509
MVNR01011997.1	NW_019041113.1
MVNR01011136.1	NW_019040252.1
MVNR01021319.1	orpheusFish_scaffold21319
MVNR01023405.1	NW_019052521.1
MVNR01009348.1	NW_019038464.1
MVNR01020307.1	orpheusFish_scaffold20307
MVNR01023513.1	orpheusFish_scaffold23513
MVNR01007782.1	NW_019036898.1
MVNR01019881.1	NW_019048997.1
MVNR01002830.1	orpheusFish_scaffold2830
MVNR01004764.1	orpheusFish_scaffold4764
MVNR01013644.1	orpheusFish_scaffold13644
MVNR01027095.1	NW_019056211.1
MVNR01027578.1	orpheusFish_scaffold27578
MVNR01011981.1	NW_019041097.1
MVNR01028072.1	orpheusFish_scaffold28072
MVNR01001766.1	orpheusFish_scaffold1766
MVNR01029476.1	orpheusFish_scaffold29476
MVNR01006639.1	NW_019035755.1
MVNR01005837.1	NW_019034953.1
MVNR01002513.1	NW_019031629.1
MVNR01026714.1	orpheusFish_scaffold26714
MVNR01026954.1	orpheusFish_scaffold26954
MVNR01002759.1	orpheusFish_scaffold2759
MVNR01026856.1	NW_019055972.1
MVNR01008039.1	orpheusFish_scaffold8039
MVNR01029927.1	orpheusFish_scaffold29927
MVNR01028930.1	NW_019058046.1
MVNR01017223.1	NW_019046339.1
MVNR01011195.1	NW_019040311.1
MVNR01022289.1	orpheusFish_scaffold22289
MVNR01012182.1	orpheusFish_scaffold12182
MVNR01008215.1	NW_019037331.1
MVNR01004671.1	orpheusFish_scaffold4671
MVNR01008507.1	NW_019037623.1
MVNR01013119.1	orpheusFish_scaffold13119
MVNR01009889.1	NW_019039005.1
MVNR01001550.1	orpheusFish_scaffold1550
MVNR01006831.1	orpheusFish_scaffold6831
MVNR01022522.1	orpheusFish_scaffold22522
MVNR01017864.1	orpheusFish_scaffold17864
MVNR01015798.1	orpheusFish_scaffold15798
MVNR01017000.1	orpheusFish_scaffold17000
MVNR01007092.1	orpheusFish_scaffold7092
MVNR01027114.1	NW_019056230.1
MVNR01014879.1	NW_019043995.1
MVNR01001989.1	orpheusFish_scaffold1989
MVNR01009292.1	NW_019038408.1
MVNR01012195.1	NW_019041311.1
MVNR01018031.1	orpheusFish_scaffold18031
MVNR01012934.1	NW_019042050.1
MVNR01008533.1	NW_019037649.1
MVNR01002133.1	orpheusFish_scaffold2133
MVNR01024491.1	NW_019053607.1
MVNR01002110.1	orpheusFish_scaffold2110
MVNR01017856.1	NW_019046972.1
MVNR01029861.1	NW_019058977.1
MVNR01021701.1	NW_019050817.1
MVNR01027883.1	NW_019056999.1
MVNR01005298.1	orpheusFish_scaffold5298
MVNR01024910.1	NW_019054026.1
MVNR01028445.1	orpheusFish_scaffold28445
MVNR01022509.1	NW_019051625.1
MVNR01000697.1	NW_019029813.1
MVNR01017614.1	NW_019046730.1
MVNR01017817.1	NW_019046933.1
MVNR01019404.1	orpheusFish_scaffold19404
MVNR01008191.1	NW_019037307.1
MVNR01012175.1	orpheusFish_scaffold12175
MVNR01016008.1	orpheusFish_scaffold16008
MVNR01009098.1	orpheusFish_scaffold9098
MVNR01017609.1	orpheusFish_scaffold17609
MVNR01001590.1	NW_019030706.1
MVNR01013417.1	orpheusFish_scaffold13417
MVNR01012066.1	orpheusFish_scaffold12066
MVNR01001813.1	orpheusFish_scaffold1813
MVNR01029438.1	NW_019058554.1
MVNR01003687.1	orpheusFish_scaffold3687
MVNR01023818.1	orpheusFish_scaffold23818
MVNR01029049.1	NW_019058165.1
MVNR01012524.1	NW_019041640.1
MVNR01005894.1	orpheusFish_scaffold5894
MVNR01004430.1	orpheusFish_scaffold4430
MVNR01016891.1	orpheusFish_scaffold16891
MVNR01003030.1	NW_019032146.1
MVNR01005674.1	NW_019034790.1
MVNR01014750.1	NW_019043866.1
MVNR01003510.1	orpheusFish_scaffold3510
MVNR01019958.1	NW_019049074.1
MVNR01023028.1	orpheusFish_scaffold23028
MVNR01017790.1	NW_019046906.1
MVNR01021564.1	NW_019050680.1
MVNR01011521.1	orpheusFish_scaffold11521
MVNR01022140.1	NW_019051256.1
MVNR01003870.1	NW_019032986.1
MVNR01007260.1	NW_019036376.1
MVNR01003164.1	orpheusFish_scaffold3164
MVNR01008063.1	NW_019037179.1
MVNR01003525.1	orpheusFish_scaffold3525
MVNR01027459.1	orpheusFish_scaffold27459
MVNR01017157.1	NW_019046273.1
MVNR01015799.1	orpheusFish_scaffold15799
MVNR01023393.1	orpheusFish_scaffold23393
MVNR01005026.1	NW_019034142.1
MVNR01016460.1	NW_019045576.1
MVNR01023064.1	orpheusFish_scaffold23064
MVNR01027166.1	NW_019056282.1
MVNR01014297.1	orpheusFish_scaffold14297
MVNR01004855.1	NW_019033971.1
MVNR01025869.1	NW_019054985.1
MVNR01018573.1	orpheusFish_scaffold18573
MVNR01006310.1	orpheusFish_scaffold6310
MVNR01011018.1	NW_019040134.1
MVNR01028608.1	NW_019057724.1
MVNR01028559.1	NW_019057675.1
MVNR01020733.1	NW_019049849.1
MVNR01026188.1	orpheusFish_scaffold26188
MVNR01015088.1	orpheusFish_scaffold15088
MVNR01026304.1	NW_019055420.1
MVNR01020528.1	orpheusFish_scaffold20528
MVNR01022004.1	NW_019051120.1
MVNR01011148.1	NW_019040264.1
MVNR01004058.1	NW_019033174.1
MVNR01017748.1	orpheusFish_scaffold17748
MVNR01011342.1	NW_019040458.1
MVNR01029723.1	orpheusFish_scaffold29723
MVNR01028485.1	NW_019057601.1
MVNR01005437.1	NW_019034553.1
MVNR01022595.1	NW_019051711.1
MVNR01028533.1	NW_019057649.1
MVNR01014011.1	orpheusFish_scaffold14011
MVNR01017432.1	orpheusFish_scaffold17432
MVNR01019040.1	orpheusFish_scaffold19040
MVNR01003120.1	NW_019032236.1
MVNR01004469.1	orpheusFish_scaffold4469
MVNR01028354.1	NW_019057470.1
MVNR01026973.1	orpheusFish_scaffold26973
MVNR01025675.1	orpheusFish_scaffold25675
MVNR01012183.1	orpheusFish_scaffold12183
MVNR01001904.1	orpheusFish_scaffold1904
MVNR01009933.1	orpheusFish_scaffold9933
MVNR01012914.1	orpheusFish_scaffold12914
MVNR01001922.1	NW_019031038.1
MVNR01009852.1	NW_019038968.1
MVNR01021997.1	orpheusFish_scaffold21997
MVNR01026380.1	orpheusFish_scaffold26380
MVNR01009592.1	orpheusFish_scaffold9592
MVNR01015751.1	orpheusFish_scaffold15751
MVNR01023695.1	NW_019052811.1
MVNR01014227.1	orpheusFish_scaffold14227
MVNR01010694.1	NW_019039810.1
MVNR01020978.1	orpheusFish_scaffold20978
MVNR01015313.1	NW_019044429.1
MVNR01007425.1	NW_019036541.1
MVNR01018228.1	orpheusFish_scaffold18228
MVNR01008557.1	orpheusFish_scaffold8557
MVNR01021177.1	orpheusFish_scaffold21177
MVNR01001958.1	orpheusFish_scaffold1958
MVNR01005924.1	orpheusFish_scaffold5924
MVNR01017226.1	orpheusFish_scaffold17226
MVNR01022842.1	NW_019051958.1
MVNR01017634.1	NW_019046750.1
MVNR01000216.1	orpheusFish_scaffold216
MVNR01012020.1	NW_019041136.1
MVNR01015312.1	NW_019044428.1
MVNR01019003.1	NW_019048119.1
MVNR01001236.1	orpheusFish_scaffold1236
MVNR01026700.1	NW_019055816.1
MVNR01018703.1	NW_019047819.1
MVNR01019629.1	NW_019048745.1
MVNR01018736.1	NW_019047852.1
MVNR01015505.1	orpheusFish_scaffold15505
MVNR01009081.1	NW_019038197.1
MVNR01017052.1	orpheusFish_scaffold17052
MVNR01002907.1	orpheusFish_scaffold2907
MVNR01024093.1	NW_019053209.1
MVNR01024585.1	orpheusFish_scaffold24585
MVNR01007289.1	orpheusFish_scaffold7289
MVNR01008851.1	NW_019037967.1
MVNR01024452.1	orpheusFish_scaffold24452
MVNR01021635.1	orpheusFish_scaffold21635
MVNR01011119.1	NW_019040235.1
MVNR01029363.1	orpheusFish_scaffold29363
MVNR01010163.1	orpheusFish_scaffold10163
MVNR01019662.1	orpheusFish_scaffold19662
MVNR01030143.1	orpheusFish_scaffold30143
MVNR01001283.1	NW_019030399.1
MVNR01012251.1	orpheusFish_scaffold12251
MVNR01029321.1	NW_019058437.1
MVNR01013140.1	NW_019042256.1
MVNR01003467.1	NW_019032583.1
MVNR01029271.1	orpheusFish_scaffold29271
MVNR01021655.1	NW_019050771.1
MVNR01011399.1	orpheusFish_scaffold11399
MVNR01014576.1	NW_019043692.1
MVNR01025208.1	orpheusFish_scaffold25208
MVNR01019236.1	NW_019048352.1
MVNR01005029.1	orpheusFish_scaffold5029
MVNR01024190.1	NW_019053306.1
MVNR01008990.1	NW_019038106.1
MVNR01008575.1	NW_019037691.1
MVNR01016573.1	NW_019045689.1
MVNR01018758.1	orpheusFish_scaffold18758
MVNR01026670.1	NW_019055786.1
MVNR01010413.1	orpheusFish_scaffold10413
MVNR01008068.1	NW_019037184.1
MVNR01003140.1	orpheusFish_scaffold3140
MVNR01024569.1	orpheusFish_scaffold24569
MVNR01006576.1	orpheusFish_scaffold6576
MVNR01027503.1	NW_019056619.1
MVNR01011612.1	orpheusFish_scaffold11612
MVNR01016778.1	orpheusFish_scaffold16778
MVNR01018155.1	NW_019047271.1
MVNR01005621.1	orpheusFish_scaffold5621
MVNR01016000.1	NW_019045116.1
MVNR01008068.1	orpheusFish_scaffold8068
MVNR01012469.1	NW_019041585.1
MVNR01001620.1	orpheusFish_scaffold1620
MVNR01000356.1	orpheusFish_scaffold356
MVNR01007958.1	orpheusFish_scaffold7958
MVNR01001177.1	orpheusFish_scaffold1177
MVNR01007410.1	NW_019036526.1
MVNR01003518.1	orpheusFish_scaffold3518
MVNR01018121.1	NW_019047237.1
MVNR01006835.1	NW_019035951.1
MVNR01023226.1	NW_019052342.1
MVNR01015712.1	orpheusFish_scaffold15712
MVNR01000251.1	NW_019029367.1
MVNR01006954.1	NW_019036070.1
MVNR01022998.1	orpheusFish_scaffold22998
MVNR01014278.1	orpheusFish_scaffold14278
MVNR01010121.1	NW_019039237.1
MVNR01002025.1	orpheusFish_scaffold2025
MVNR01002297.1	NW_019031413.1
MVNR01017483.1	orpheusFish_scaffold17483
MVNR01020779.1	NW_019049895.1
MVNR01004649.1	NW_019033765.1
MVNR01000701.1	orpheusFish_scaffold701
MVNR01027813.1	orpheusFish_scaffold27813
MVNR01018612.1	NW_019047728.1
MVNR01022181.1	orpheusFish_scaffold22181
MVNR01030088.1	orpheusFish_scaffold30088
MVNR01015796.1	orpheusFish_scaffold15796
MVNR01000740.1	NW_019029856.1
MVNR01022093.1	orpheusFish_scaffold22093
MVNR01012744.1	NW_019041860.1
MVNR01019153.1	orpheusFish_scaffold19153
MVNR01003012.1	orpheusFish_scaffold3012
MVNR01003500.1	NW_019032616.1
MVNR01022899.1	orpheusFish_scaffold22899
MVNR01019732.1	orpheusFish_scaffold19732
MVNR01004500.1	orpheusFish_scaffold4500
MVNR01025493.1	NW_019054609.1
MVNR01005936.1	NW_019035052.1
MVNR01025294.1	NW_019054410.1
MVNR01023427.1	orpheusFish_scaffold23427
MVNR01020709.1	orpheusFish_scaffold20709
MVNR01014517.1	orpheusFish_scaffold14517
MVNR01009307.1	NW_019038423.1
MVNR01023873.1	NW_019052989.1
MVNR01007790.1	NW_019036906.1
MVNR01022196.1	orpheusFish_scaffold22196
MVNR01013843.1	orpheusFish_scaffold13843
MVNR01014819.1	NW_019043935.1
MVNR01025544.1	orpheusFish_scaffold25544
MVNR01018803.1	orpheusFish_scaffold18803
MVNR01001803.1	NW_019030919.1
MVNR01022360.1	NW_019051476.1
MVNR01013270.1	NW_019042386.1
MVNR01017040.1	orpheusFish_scaffold17040
MVNR01010117.1	NW_019039233.1
MVNR01017757.1	orpheusFish_scaffold17757
MVNR01018183.1	NW_019047299.1
MVNR01027474.1	NW_019056590.1
MVNR01007639.1	NW_019036755.1
MVNR01004668.1	orpheusFish_scaffold4668
MVNR01007730.1	orpheusFish_scaffold7730
MVNR01026592.1	NW_019055708.1
MVNR01008572.1	NW_019037688.1
MVNR01005496.1	NW_019034612.1
MVNR01019657.1	NW_019048773.1
MVNR01029782.1	orpheusFish_scaffold29782
MVNR01015094.1	orpheusFish_scaffold15094
MVNR01009977.1	NW_019039093.1
MVNR01005057.1	orpheusFish_scaffold5057
MVNR01003088.1	NW_019032204.1
MVNR01010529.1	orpheusFish_scaffold10529
MVNR01011835.1	NW_019040951.1
MVNR01029447.1	orpheusFish_scaffold29447
MVNR01012537.1	orpheusFish_scaffold12537
MVNR01006329.1	orpheusFish_scaffold6329
MVNR01019679.1	NW_019048795.1
MVNR01020768.1	orpheusFish_scaffold20768
MVNR01014301.1	NW_019043417.1
MVNR01016232.1	NW_019045348.1
MVNR01012477.1	orpheusFish_scaffold12477
MVNR01020620.1	NW_019049736.1
MVNR01021645.1	NW_019050761.1
MVNR01023197.1	NW_019052313.1
MVNR01011043.1	orpheusFish_scaffold11043
MVNR01009998.1	orpheusFish_scaffold9998
MVNR01019695.1	NW_019048811.1
MVNR01022374.1	orpheusFish_scaffold22374
MVNR01014017.1	orpheusFish_scaffold14017
MVNR01026661.1	NW_019055777.1
MVNR01008126.1	NW_019037242.1
MVNR01028071.1	orpheusFish_scaffold28071
MVNR01024855.1	NW_019053971.1
MVNR01024322.1	NW_019053438.1
MVNR01002325.1	orpheusFish_scaffold2325
MVNR01004599.1	NW_019033715.1
MVNR01017454.1	NW_019046570.1
MVNR01027063.1	NW_019056179.1
MVNR01022317.1	orpheusFish_scaffold22317
MVNR01022950.1	NW_019052066.1
MVNR01004088.1	NW_019033204.1
MVNR01019568.1	orpheusFish_scaffold19568
MVNR01021901.1	NW_019051017.1
MVNR01010305.1	NW_019039421.1
MVNR01025890.1	NW_019055006.1
MVNR01009534.1	NW_019038650.1
MVNR01009831.1	orpheusFish_scaffold9831
MVNR01003201.1	NW_019032317.1
MVNR01000968.1	orpheusFish_scaffold968
MVNR01021958.1	orpheusFish_scaffold21958
MVNR01019277.1	NW_019048393.1
MVNR01022631.1	NW_019051747.1
MVNR01022513.1	orpheusFish_scaffold22513
MVNR01010889.1	orpheusFish_scaffold10889
MVNR01020744.1	NW_019049860.1
MVNR01007016.1	orpheusFish_scaffold7016
MVNR01007705.1	NW_019036821.1
MVNR01018353.1	NW_019047469.1
MVNR01004921.1	orpheusFish_scaffold4921
MVNR01000666.1	NW_019029782.1
MVNR01024416.1	NW_019053532.1
MVNR01020876.1	orpheusFish_scaffold20876
MVNR01027882.1	NW_019056998.1
MVNR01025652.1	NW_019054768.1
MVNR01012201.1	NW_019041317.1
MVNR01022376.1	NW_019051492.1
MVNR01015195.1	orpheusFish_scaffold15195
MVNR01010765.1	NW_019039881.1
MVNR01019471.1	NW_019048587.1
MVNR01007523.1	NW_019036639.1
MVNR01024699.1	NW_019053815.1
MVNR01029165.1	NW_019058281.1
MVNR01019356.1	NW_019048472.1
MVNR01006799.1	NW_019035915.1
MVNR01014940.1	orpheusFish_scaffold14940
MVNR01026472.1	NW_019055588.1
MVNR01006655.1	NW_019035771.1
MVNR01021971.1	NW_019051087.1
MVNR01010163.1	NW_019039279.1
MVNR01005429.1	orpheusFish_scaffold5429
MVNR01002617.1	orpheusFish_scaffold2617
MVNR01028305.1	NW_019057421.1
MVNR01017293.1	NW_019046409.1
MVNR01024765.1	NW_019053881.1
MVNR01018203.1	NW_019047319.1
MVNR01003690.1	orpheusFish_scaffold3690
MVNR01015684.1	NW_019044800.1
MVNR01008154.1	NW_019037270.1
MVNR01001488.1	orpheusFish_scaffold1488
MVNR01009663.1	orpheusFish_scaffold9663
MVNR01013063.1	orpheusFish_scaffold13063
MVNR01014430.1	orpheusFish_scaffold14430
MVNR01015198.1	orpheusFish_scaffold15198
MVNR01026723.1	NW_019055839.1
MVNR01012053.1	orpheusFish_scaffold12053
MVNR01004102.1	orpheusFish_scaffold4102
MVNR01021962.1	NW_019051078.1
MVNR01013065.1	NW_019042181.1
MVNR01008896.1	NW_019038012.1
MVNR01022280.1	orpheusFish_scaffold22280
MVNR01024452.1	NW_019053568.1
MVNR01013300.1	orpheusFish_scaffold13300
MVNR01027709.1	NW_019056825.1
MVNR01022575.1	orpheusFish_scaffold22575
MVNR01011910.1	NW_019041026.1
MVNR01015232.1	orpheusFish_scaffold15232
MVNR01003188.1	NW_019032304.1
MVNR01027773.1	NW_019056889.1
MVNR01001458.1	NW_019030574.1
MVNR01011180.1	NW_019040296.1
MVNR01024148.1	NW_019053264.1
MVNR01017471.1	NW_019046587.1
MVNR01010185.1	NW_019039301.1
MVNR01014684.1	orpheusFish_scaffold14684
MVNR01012920.1	NW_019042036.1
MVNR01018802.1	orpheusFish_scaffold18802
MVNR01022808.1	orpheusFish_scaffold22808
MVNR01001407.1	orpheusFish_scaffold1407
MVNR01024641.1	orpheusFish_scaffold24641
MVNR01027948.1	NW_019057064.1
MVNR01001385.1	orpheusFish_scaffold1385
MVNR01001954.1	orpheusFish_scaffold1954
MVNR01007669.1	orpheusFish_scaffold7669
MVNR01011043.1	NW_019040159.1
MVNR01006164.1	NW_019035280.1
MVNR01021538.1	NW_019050654.1
MVNR01019462.1	NW_019048578.1
MVNR01024481.1	orpheusFish_scaffold24481
MVNR01025128.1	NW_019054244.1
MVNR01024296.1	NW_019053412.1
MVNR01011774.1	orpheusFish_scaffold11774
MVNR01009268.1	orpheusFish_scaffold9268
MVNR01009775.1	orpheusFish_scaffold9775
MVNR01012038.1	orpheusFish_scaffold12038
MVNR01010599.1	orpheusFish_scaffold10599
MVNR01010638.1	orpheusFish_scaffold10638
MVNR01004296.1	NW_019033412.1
MVNR01002955.1	NW_019032071.1
MVNR01016236.1	NW_019045352.1
MVNR01026875.1	orpheusFish_scaffold26875
MVNR01002425.1	orpheusFish_scaffold2425
MVNR01008651.1	NW_019037767.1
MVNR01014182.1	orpheusFish_scaffold14182
MVNR01002789.1	orpheusFish_scaffold2789
MVNR01005391.1	orpheusFish_scaffold5391
MVNR01011733.1	orpheusFish_scaffold11733
MVNR01030213.1	NW_019059329.1
MVNR01012355.1	orpheusFish_scaffold12355
MVNR01014725.1	orpheusFish_scaffold14725
MVNR01012056.1	orpheusFish_scaffold12056
MVNR01017892.1	orpheusFish_scaffold17892
MVNR01011975.1	NW_019041091.1
MVNR01005947.1	orpheusFish_scaffold5947
MVNR01025574.1	orpheusFish_scaffold25574
MVNR01029920.1	NW_019059036.1
MVNR01006348.1	orpheusFish_scaffold6348
MVNR01010120.1	NW_019039236.1
MVNR01000102.1	orpheusFish_scaffold102
MVNR01018361.1	NW_019047477.1
MVNR01021529.1	NW_019050645.1
MVNR01028906.1	NW_019058022.1
MVNR01015936.1	orpheusFish_scaffold15936
MVNR01029657.1	orpheusFish_scaffold29657
MVNR01030161.1	orpheusFish_scaffold30161
MVNR01021367.1	orpheusFish_scaffold21367
MVNR01018798.1	orpheusFish_scaffold18798
MVNR01019250.1	NW_019048366.1
MVNR01006856.1	NW_019035972.1
MVNR01011965.1	orpheusFish_scaffold11965
MVNR01011069.1	NW_019040185.1
MVNR01012937.1	orpheusFish_scaffold12937
MVNR01020212.1	orpheusFish_scaffold20212
MVNR01001898.1	NW_019031014.1
MVNR01016068.1	NW_019045184.1
MVNR01011174.1	orpheusFish_scaffold11174
MVNR01018221.1	orpheusFish_scaffold18221
MVNR01028022.1	orpheusFish_scaffold28022
MVNR01006157.1	orpheusFish_scaffold6157
MVNR01009022.1	NW_019038138.1
MVNR01028291.1	orpheusFish_scaffold28291
MVNR01009264.1	NW_019038380.1
MVNR01013848.1	NW_019042964.1
MVNR01019498.1	NW_019048614.1
MVNR01023819.1	orpheusFish_scaffold23819
MVNR01028565.1	NW_019057681.1
MVNR01021216.1	orpheusFish_scaffold21216
MVNR01009143.1	NW_019038259.1
MVNR01006053.1	orpheusFish_scaffold6053
MVNR01016726.1	NW_019045842.1
MVNR01026254.1	orpheusFish_scaffold26254
MVNR01026337.1	NW_019055453.1
MVNR01027714.1	orpheusFish_scaffold27714
MVNR01016009.1	NW_019045125.1
MVNR01011066.1	orpheusFish_scaffold11066
MVNR01013061.1	orpheusFish_scaffold13061
MVNR01010572.1	NW_019039688.1
MVNR01014775.1	NW_019043891.1
MVNR01000552.1	orpheusFish_scaffold552
MVNR01005467.1	orpheusFish_scaffold5467
MVNR01002716.1	orpheusFish_scaffold2716
MVNR01005677.1	orpheusFish_scaffold5677
MVNR01008415.1	orpheusFish_scaffold8415
MVNR01017590.1	NW_019046706.1
MVNR01002838.1	orpheusFish_scaffold2838
MVNR01017353.1	orpheusFish_scaffold17353
MVNR01014395.1	orpheusFish_scaffold14395
MVNR01002968.1	orpheusFish_scaffold2968
MVNR01013685.1	NW_019042801.1
MVNR01008642.1	orpheusFish_scaffold8642
MVNR01025036.1	NW_019054152.1
MVNR01029905.1	orpheusFish_scaffold29905
MVNR01001968.1	NW_019031084.1
MVNR01001939.1	orpheusFish_scaffold1939
MVNR01009901.1	NW_019039017.1
MVNR01021988.1	orpheusFish_scaffold21988
MVNR01026054.1	orpheusFish_scaffold26054
MVNR01010349.1	NW_019039465.1
MVNR01019998.1	NW_019049114.1
MVNR01002164.1	NW_019031280.1
MVNR01025862.1	orpheusFish_scaffold25862
MVNR01004433.1	orpheusFish_scaffold4433
MVNR01019905.1	orpheusFish_scaffold19905
MVNR01021111.1	orpheusFish_scaffold21111
