GL251067.1	NW_003276017.1
GL238527.1	NW_003263477.1
GL230882.1	NW_003255832.1
GL202296.1	NW_003227246.1
GL246873.1	NW_003271823.1
GL255297.1	NW_003280247.1
GL197995.1	NW_003222945.1
GL220489.1	NW_003245439.1
GL210452.1	NW_003235402.1
GL199519.1	NW_003224469.1
GL254423.1	NW_003279373.1
GL236427.1	NW_003261377.1
GL206750.1	NW_003231700.1
GL239919.1	NW_003264869.1
GL253780.1	NW_003278730.1
GL225721.1	NW_003250671.1
GL243428.1	NW_003268378.1
GL250435.1	NW_003275385.1
GL229909.1	NW_003254859.1
GL216430.1	NW_003241380.1
GL267104.1	NW_003292054.1
GL237245.1	NW_003262195.1
GL217639.1	NW_003242589.1
GL192861.1	NW_003217811.1
GL219987.1	NW_003244937.1
GL213575.1	NW_003238525.1
GL220516.1	NW_003245466.1
GL243495.1	NW_003268445.1
GL211368.1	NW_003236318.1
GL217649.1	NW_003242599.1
GL240662.1	NW_003265612.1
GL192895.1	NW_003217845.1
GL265497.1	NW_003290447.1
GL255409.1	NW_003280359.1
GL213037.1	NW_003237987.1
GL231005.1	NW_003255955.1
GL238076.1	NW_003263026.1
GL240410.1	NW_003265360.1
GL232870.1	NW_003257820.1
GL266113.1	NW_003291063.1
GL265314.1	NW_003290264.1
GL217843.1	NW_003242793.1
GL230950.1	NW_003255900.1
GL208551.1	NW_003233501.1
GL194918.1	NW_003219868.1
GL251929.1	NW_003276879.1
GL222689.1	NW_003247639.1
GL210250.1	NW_003235200.1
GL272791.1	NW_003297741.1
GL266108.1	NW_003291058.1
GL249225.1	NW_003274175.1
GL262502.1	NW_003287452.1
GL200785.1	NW_003225735.1
GL218144.1	NW_003243094.1
GL209888.1	NW_003234838.1
GL202764.1	NW_003227714.1
GL266665.1	NW_003291615.1
GL237111.1	NW_003262061.1
GL266877.1	NW_003291827.1
GL207053.1	NW_003232003.1
GL237504.1	NW_003262454.1
GL214220.1	NW_003239170.1
GL245065.1	NW_003270015.1
GL211192.1	NW_003236142.1
GL232011.1	NW_003256961.1
GL263911.1	NW_003288861.1
GL247454.1	NW_003272404.1
GL225802.1	NW_003250752.1
GL227298.1	NW_003252248.1
GL219441.1	NW_003244391.1
GL205742.1	NW_003230692.1
GL238194.1	NW_003263144.1
GL212684.1	NW_003237634.1
GL223450.1	NW_003248400.1
GL194574.1	NW_003219524.1
GL268217.1	NW_003293167.1
GL222463.1	NW_003247413.1
GL250983.1	NW_003275933.1
GL258870.1	NW_003283820.1
GL232234.1	NW_003257184.1
GL232475.1	NW_003257425.1
GL224294.1	NW_003249244.1
GL263467.1	NW_003288417.1
GL233084.1	NW_003258034.1
GL227646.1	NW_003252596.1
GL245647.1	NW_003270597.1
GL242551.1	NW_003267501.1
GL256916.1	NW_003281866.1
GL273624.1	NW_003298574.1
GL261171.1	NW_003286121.1
GL194014.1	NW_003218964.1
GL225677.1	NW_003250627.1
GL254026.1	NW_003278976.1
GL236689.1	NW_003261639.1
GL265268.1	NW_003290218.1
GL230473.1	NW_003255423.1
GL209405.1	NW_003234355.1
GL229587.1	NW_003254537.1
GL238564.1	NW_003263514.1
GL224614.1	NW_003249564.1
GL195605.1	NW_003220555.1
GL224186.1	NW_003249136.1
GL228149.1	NW_003253099.1
GL262302.1	NW_003287252.1
GL267447.1	NW_003292397.1
GL225796.1	NW_003250746.1
GL271420.1	NW_003296370.1
GL237046.1	NW_003261996.1
GL220795.1	NW_003245745.1
GL205179.1	NW_003230129.1
GL196604.1	NW_003221554.1
GL223306.1	NW_003248256.1
GL248517.1	NW_003273467.1
GL261682.1	NW_003286632.1
GL205470.1	NW_003230420.1
GL220692.1	NW_003245642.1
GL254740.1	NW_003279690.1
GL260873.1	NW_003285823.1
GL257869.1	NW_003282819.1
GL267306.1	NW_003292256.1
GL272460.1	NW_003297410.1
GL220548.1	NW_003245498.1
GL213876.1	NW_003238826.1
GL210327.1	NW_003235277.1
GL216046.1	NW_003240996.1
GL225704.1	NW_003250654.1
GL206696.1	NW_003231646.1
GL225767.1	NW_003250717.1
GL207490.1	NW_003232440.1
GL250640.1	NW_003275590.1
GL272247.1	NW_003297197.1
GL243679.1	NW_003268629.1
GL232317.1	NW_003257267.1
GL219555.1	NW_003244505.1
GL209300.1	NW_003234250.1
GL226210.1	NW_003251160.1
GL207585.1	NW_003232535.1
GL262180.1	NW_003287130.1
GL246967.1	NW_003271917.1
GL232198.1	NW_003257148.1
GL202543.1	NW_003227493.1
GL253859.1	NW_003278809.1
GL238561.1	NW_003263511.1
GL273562.1	NW_003298512.1
GL216065.1	NW_003241015.1
GL235698.1	NW_003260648.1
GL257907.1	NW_003282857.1
GL192687.1	NW_003217637.1
GL214625.1	NW_003239575.1
GL208443.1	NW_003233393.1
GL207371.1	NW_003232321.1
GL216489.1	NW_003241439.1
GL252471.1	NW_003277421.1
GL231299.1	NW_003256249.1
GL257125.1	NW_003282075.1
GL239163.1	NW_003264113.1
GL268760.1	NW_003293710.1
GL233039.1	NW_003257989.1
GL218917.1	NW_003243867.1
GL202879.1	NW_003227829.1
GL234831.1	NW_003259781.1
GL252383.1	NW_003277333.1
GL209071.1	NW_003234021.1
GL235750.1	NW_003260700.1
GL270661.1	NW_003295611.1
GL262596.1	NW_003287546.1
GL206474.1	NW_003231424.1
GL229056.1	NW_003254006.1
GL242049.1	NW_003266999.1
GL262616.1	NW_003287566.1
GL238225.1	NW_003263175.1
GL211984.1	NW_003236934.1
GL214229.1	NW_003239179.1
GL201423.1	NW_003226373.1
GL272326.1	NW_003297276.1
GL214981.1	NW_003239931.1
GL219978.1	NW_003244928.1
GL236158.1	NW_003261108.1
GL233372.1	NW_003258322.1
GL252186.1	NW_003277136.1
GL201480.1	NW_003226430.1
GL230191.1	NW_003255141.1
GL198094.1	NW_003223044.1
GL256298.1	NW_003281248.1
GL213556.1	NW_003238506.1
GL261877.1	NW_003286827.1
GL248476.1	NW_003273426.1
GL202520.1	NW_003227470.1
GL229100.1	NW_003254050.1
GL250628.1	NW_003275578.1
GL230169.1	NW_003255119.1
GL233466.1	NW_003258416.1
GL199087.1	NW_003224037.1
GL240422.1	NW_003265372.1
GL268248.1	NW_003293198.1
GL203677.1	NW_003228627.1
GL192959.1	NW_003217909.1
GL244212.1	NW_003269162.1
GL255908.1	NW_003280858.1
GL194961.1	NW_003219911.1
GL218404.1	NW_003243354.1
GL214870.1	NW_003239820.1
GL270021.1	NW_003294971.1
GL247392.1	NW_003272342.1
GL243635.1	NW_003268585.1
GL217493.1	NW_003242443.1
GL210926.1	NW_003235876.1
GL212928.1	NW_003237878.1
GL267682.1	NW_003292632.1
GL247013.1	NW_003271963.1
GL261071.1	NW_003286021.1
GL211774.1	NW_003236724.1
GL273245.1	NW_003298195.1
GL247057.1	NW_003272007.1
GL244675.1	NW_003269625.1
GL257292.1	NW_003282242.1
GL215283.1	NW_003240233.1
GL251751.1	NW_003276701.1
GL230684.1	NW_003255634.1
GL219924.1	NW_003244874.1
GL216347.1	NW_003241297.1
GL207395.1	NW_003232345.1
GL236508.1	NW_003261458.1
GL247711.1	NW_003272661.1
GL264686.1	NW_003289636.1
GL260589.1	NW_003285539.1
GL254848.1	NW_003279798.1
GL197791.1	NW_003222741.1
GL216481.1	NW_003241431.1
GL245438.1	NW_003270388.1
GL233102.1	NW_003258052.1
GL268233.1	NW_003293183.1
GL215557.1	NW_003240507.1
GL249072.1	NW_003274022.1
GL257368.1	NW_003282318.1
GL258896.1	NW_003283846.1
GL252495.1	NW_003277445.1
GL250341.1	NW_003275291.1
GL256722.1	NW_003281672.1
GL239315.1	NW_003264265.1
GL208208.1	NW_003233158.1
GL244302.1	NW_003269252.1
GL246039.1	NW_003270989.1
GL208704.1	NW_003233654.1
GL248043.1	NW_003272993.1
GL271258.1	NW_003296208.1
GL270580.1	NW_003295530.1
GL208230.1	NW_003233180.1
GL244667.1	NW_003269617.1
GL259412.1	NW_003284362.1
GL267510.1	NW_003292460.1
GL217113.1	NW_003242063.1
GL213004.1	NW_003237954.1
GL206047.1	NW_003230997.1
GL215138.1	NW_003240088.1
GL262503.1	NW_003287453.1
GL257016.1	NW_003281966.1
GL223811.1	NW_003248761.1
GL200882.1	NW_003225832.1
GL241848.1	NW_003266798.1
GL207463.1	NW_003232413.1
GL203360.1	NW_003228310.1
GL252515.1	NW_003277465.1
GL199850.1	NW_003224800.1
GL259081.1	NW_003284031.1
GL217574.1	NW_003242524.1
GL224244.1	NW_003249194.1
GL245219.1	NW_003270169.1
GL194559.1	NW_003219509.1
GL249869.1	NW_003274819.1
GL218699.1	NW_003243649.1
GL197905.1	NW_003222855.1
GL255596.1	NW_003280546.1
GL236052.1	NW_003261002.1
GL204998.1	NW_003229948.1
GL259191.1	NW_003284141.1
GL255479.1	NW_003280429.1
GL220957.1	NW_003245907.1
GL213832.1	NW_003238782.1
GL239097.1	NW_003264047.1
GL207982.1	NW_003232932.1
GL209758.1	NW_003234708.1
GL234987.1	NW_003259937.1
GL218930.1	NW_003243880.1
GL220472.1	NW_003245422.1
GL216195.1	NW_003241145.1
GL259747.1	NW_003284697.1
GL236520.1	NW_003261470.1
GL249196.1	NW_003274146.1
GL239604.1	NW_003264554.1
GL192985.1	NW_003217935.1
GL216132.1	NW_003241082.1
GL227465.1	NW_003252415.1
GL227047.1	NW_003251997.1
GL238152.1	NW_003263102.1
GL232687.1	NW_003257637.1
GL199154.1	NW_003224104.1
GL251677.1	NW_003276627.1
GL199481.1	NW_003224431.1
GL246294.1	NW_003271244.1
GL233463.1	NW_003258413.1
GL250961.1	NW_003275911.1
GL201995.1	NW_003226945.1
GL267937.1	NW_003292887.1
GL248854.1	NW_003273804.1
GL235692.1	NW_003260642.1
GL259766.1	NW_003284716.1
GL235797.1	NW_003260747.1
GL199892.1	NW_003224842.1
GL231666.1	NW_003256616.1
GL236100.1	NW_003261050.1
GL225961.1	NW_003250911.1
GL253548.1	NW_003278498.1
GL260735.1	NW_003285685.1
GL249207.1	NW_003274157.1
GL235157.1	NW_003260107.1
GL210037.1	NW_003234987.1
GL271281.1	NW_003296231.1
GL210173.1	NW_003235123.1
GL214480.1	NW_003239430.1
GL246420.1	NW_003271370.1
GL230378.1	NW_003255328.1
GL229390.1	NW_003254340.1
GL239526.1	NW_003264476.1
GL238507.1	NW_003263457.1
GL193103.1	NW_003218053.1
GL264311.1	NW_003289261.1
GL205648.1	NW_003230598.1
GL225271.1	NW_003250221.1
GL250374.1	NW_003275324.1
GL227188.1	NW_003252138.1
GL208752.1	NW_003233702.1
GL219490.1	NW_003244440.1
GL260144.1	NW_003285094.1
GL225173.1	NW_003250123.1
GL226780.1	NW_003251730.1
GL231531.1	NW_003256481.1
GL197328.1	NW_003222278.1
GL214191.1	NW_003239141.1
GL260781.1	NW_003285731.1
GL225195.1	NW_003250145.1
GL192427.1	NW_003217377.1
GL209865.1	NW_003234815.1
GL207644.1	NW_003232594.1
GL238814.1	NW_003263764.1
GL212948.1	NW_003237898.1
GL244977.1	NW_003269927.1
GL272593.1	NW_003297543.1
GL233323.1	NW_003258273.1
GL244084.1	NW_003269034.1
GL235343.1	NW_003260293.1
GL254924.1	NW_003279874.1
GL214250.1	NW_003239200.1
GL252782.1	NW_003277732.1
GL222541.1	NW_003247491.1
GL246544.1	NW_003271494.1
GL229132.1	NW_003254082.1
GL264436.1	NW_003289386.1
GL209241.1	NW_003234191.1
GL237062.1	NW_003262012.1
GL243693.1	NW_003268643.1
GL243132.1	NW_003268082.1
GL235556.1	NW_003260506.1
GL221935.1	NW_003246885.1
GL213092.1	NW_003238042.1
GL273391.1	NW_003298341.1
GL267237.1	NW_003292187.1
GL229867.1	NW_003254817.1
GL233821.1	NW_003258771.1
GL207602.1	NW_003232552.1
GL221692.1	NW_003246642.1
GL204480.1	NW_003229430.1
GL245336.1	NW_003270286.1
GL235799.1	NW_003260749.1
GL208413.1	NW_003233363.1
GL202847.1	NW_003227797.1
GL222464.1	NW_003247414.1
GL201615.1	NW_003226565.1
GL253987.1	NW_003278937.1
GL245150.1	NW_003270100.1
GL206022.1	NW_003230972.1
GL203060.1	NW_003228010.1
GL218408.1	NW_003243358.1
GL255439.1	NW_003280389.1
GL250424.1	NW_003275374.1
GL215945.1	NW_003240895.1
GL218527.1	NW_003243477.1
GL208804.1	NW_003233754.1
GL238862.1	NW_003263812.1
GL194847.1	NW_003219797.1
GL272378.1	NW_003297328.1
GL226331.1	NW_003251281.1
GL221511.1	NW_003246461.1
GL254287.1	NW_003279237.1
GL270901.1	NW_003295851.1
GL203093.1	NW_003228043.1
GL212877.1	NW_003237827.1
GL212157.1	NW_003237107.1
GL271406.1	NW_003296356.1
GL256494.1	NW_003281444.1
GL206525.1	NW_003231475.1
GL239067.1	NW_003264017.1
GL208766.1	NW_003233716.1
GL194331.1	NW_003219281.1
GL198138.1	NW_003223088.1
GL254032.1	NW_003278982.1
GL217866.1	NW_003242816.1
GL263317.1	NW_003288267.1
GL228600.1	NW_003253550.1
GL261770.1	NW_003286720.1
GL227020.1	NW_003251970.1
GL210692.1	NW_003235642.1
GL211851.1	NW_003236801.1
GL200565.1	NW_003225515.1
GL214080.1	NW_003239030.1
GL207270.1	NW_003232220.1
GL244195.1	NW_003269145.1
GL264175.1	NW_003289125.1
GL249414.1	NW_003274364.1
GL259370.1	NW_003284320.1
GL213609.1	NW_003238559.1
GL251025.1	NW_003275975.1
GL213091.1	NW_003238041.1
GL273420.1	NW_003298370.1
GL196600.1	NW_003221550.1
GL216940.1	NW_003241890.1
GL247113.1	NW_003272063.1
GL243483.1	NW_003268433.1
GL260421.1	NW_003285371.1
GL249629.1	NW_003274579.1
GL194835.1	NW_003219785.1
GL270642.1	NW_003295592.1
GL223206.1	NW_003248156.1
GL196647.1	NW_003221597.1
GL261896.1	NW_003286846.1
GL226412.1	NW_003251362.1
GL253213.1	NW_003278163.1
GL232593.1	NW_003257543.1
GL270392.1	NW_003295342.1
GL255817.1	NW_003280767.1
GL231959.1	NW_003256909.1
GL213915.1	NW_003238865.1
GL261068.1	NW_003286018.1
GL230574.1	NW_003255524.1
GL199618.1	NW_003224568.1
GL268018.1	NW_003292968.1
GL220188.1	NW_003245138.1
GL200855.1	NW_003225805.1
GL257912.1	NW_003282862.1
GL207348.1	NW_003232298.1
GL258419.1	NW_003283369.1
GL219052.1	NW_003244002.1
GL200144.1	NW_003225094.1
GL254093.1	NW_003279043.1
GL248845.1	NW_003273795.1
GL240024.1	NW_003264974.1
GL238210.1	NW_003263160.1
GL216162.1	NW_003241112.1
GL196195.1	NW_003221145.1
GL202789.1	NW_003227739.1
GL258425.1	NW_003283375.1
GL242785.1	NW_003267735.1
GL247342.1	NW_003272292.1
GL192434.1	NW_003217384.1
GL227425.1	NW_003252375.1
GL254314.1	NW_003279264.1
GL231737.1	NW_003256687.1
GL221638.1	NW_003246588.1
GL268160.1	NW_003293110.1
GL264253.1	NW_003289203.1
GL200236.1	NW_003225186.1
GL208336.1	NW_003233286.1
GL202045.1	NW_003226995.1
GL203314.1	NW_003228264.1
GL242327.1	NW_003267277.1
GL238876.1	NW_003263826.1
GL258347.1	NW_003283297.1
GL214738.1	NW_003239688.1
GL271638.1	NW_003296588.1
GL208136.1	NW_003233086.1
GL273599.1	NW_003298549.1
GL253466.1	NW_003278416.1
GL265250.1	NW_003290200.1
GL195304.1	NW_003220254.1
GL262858.1	NW_003287808.1
GL197562.1	NW_003222512.1
GL243412.1	NW_003268362.1
GL222816.1	NW_003247766.1
GL232018.1	NW_003256968.1
GL264967.1	NW_003289917.1
GL243120.1	NW_003268070.1
GL198706.1	NW_003223656.1
GL269764.1	NW_003294714.1
GL249441.1	NW_003274391.1
GL257197.1	NW_003282147.1
GL194244.1	NW_003219194.1
GL211955.1	NW_003236905.1
GL273244.1	NW_003298194.1
GL222998.1	NW_003247948.1
GL196004.1	NW_003220954.1
GL204123.1	NW_003229073.1
GL260756.1	NW_003285706.1
GL228555.1	NW_003253505.1
GL218749.1	NW_003243699.1
GL226512.1	NW_003251462.1
GL209906.1	NW_003234856.1
GL248440.1	NW_003273390.1
GL250198.1	NW_003275148.1
GL212113.1	NW_003237063.1
GL225785.1	NW_003250735.1
GL231974.1	NW_003256924.1
GL261502.1	NW_003286452.1
GL271458.1	NW_003296408.1
GL196504.1	NW_003221454.1
GL258034.1	NW_003282984.1
GL203478.1	NW_003228428.1
GL231440.1	NW_003256390.1
GL208985.1	NW_003233935.1
GL240813.1	NW_003265763.1
GL237381.1	NW_003262331.1
GL269450.1	NW_003294400.1
GL209794.1	NW_003234744.1
GL270362.1	NW_003295312.1
GL267909.1	NW_003292859.1
GL254281.1	NW_003279231.1
GL265764.1	NW_003290714.1
GL242413.1	NW_003267363.1
GL235515.1	NW_003260465.1
GL195173.1	NW_003220123.1
GL265788.1	NW_003290738.1
GL250257.1	NW_003275207.1
GL243863.1	NW_003268813.1
GL201683.1	NW_003226633.1
GL267817.1	NW_003292767.1
GL216123.1	NW_003241073.1
GL205365.1	NW_003230315.1
GL266753.1	NW_003291703.1
GL213891.1	NW_003238841.1
GL240012.1	NW_003264962.1
GL239094.1	NW_003264044.1
GL264386.1	NW_003289336.1
GL257624.1	NW_003282574.1
GL224756.1	NW_003249706.1
GL202836.1	NW_003227786.1
GL260504.1	NW_003285454.1
GL259622.1	NW_003284572.1
GL266447.1	NW_003291397.1
GL206712.1	NW_003231662.1
GL244975.1	NW_003269925.1
GL221069.1	NW_003246019.1
GL252339.1	NW_003277289.1
GL241245.1	NW_003266195.1
GL218223.1	NW_003243173.1
GL241700.1	NW_003266650.1
GL194110.1	NW_003219060.1
GL210474.1	NW_003235424.1
GL272457.1	NW_003297407.1
GL244106.1	NW_003269056.1
GL270630.1	NW_003295580.1
GL255860.1	NW_003280810.1
GL219794.1	NW_003244744.1
GL229241.1	NW_003254191.1
GL243805.1	NW_003268755.1
GL271354.1	NW_003296304.1
GL232635.1	NW_003257585.1
GL264748.1	NW_003289698.1
GL248490.1	NW_003273440.1
GL199356.1	NW_003224306.1
GL260784.1	NW_003285734.1
GL229338.1	NW_003254288.1
GL224261.1	NW_003249211.1
GL254852.1	NW_003279802.1
GL244069.1	NW_003269019.1
GL265030.1	NW_003289980.1
GL215594.1	NW_003240544.1
GL198345.1	NW_003223295.1
GL234551.1	NW_003259501.1
GL229595.1	NW_003254545.1
GL267511.1	NW_003292461.1
GL200942.1	NW_003225892.1
GL269838.1	NW_003294788.1
GL211607.1	NW_003236557.1
GL225197.1	NW_003250147.1
GL201010.1	NW_003225960.1
GL235655.1	NW_003260605.1
GL250763.1	NW_003275713.1
GL239168.1	NW_003264118.1
GL212073.1	NW_003237023.1
GL260364.1	NW_003285314.1
GL228271.1	NW_003253221.1
GL203145.1	NW_003228095.1
GL242861.1	NW_003267811.1
GL272368.1	NW_003297318.1
GL237656.1	NW_003262606.1
GL237379.1	NW_003262329.1
GL212043.1	NW_003236993.1
GL231478.1	NW_003256428.1
GL246321.1	NW_003271271.1
GL269800.1	NW_003294750.1
GL263342.1	NW_003288292.1
GL222701.1	NW_003247651.1
GL272705.1	NW_003297655.1
GL257550.1	NW_003282500.1
GL225496.1	NW_003250446.1
GL242036.1	NW_003266986.1
GL200393.1	NW_003225343.1
GL214479.1	NW_003239429.1
GL206741.1	NW_003231691.1
GL220988.1	NW_003245938.1
GL266726.1	NW_003291676.1
GL204966.1	NW_003229916.1
GL209613.1	NW_003234563.1
GL243302.1	NW_003268252.1
GL242440.1	NW_003267390.1
GL221018.1	NW_003245968.1
GL201826.1	NW_003226776.1
GL208523.1	NW_003233473.1
GL240172.1	NW_003265122.1
GL195928.1	NW_003220878.1
GL240440.1	NW_003265390.1
GL252716.1	NW_003277666.1
GL269407.1	NW_003294357.1
GL252630.1	NW_003277580.1
GL268664.1	NW_003293614.1
GL269209.1	NW_003294159.1
GL261973.1	NW_003286923.1
GL263638.1	NW_003288588.1
GL252748.1	NW_003277698.1
GL266961.1	NW_003291911.1
GL266617.1	NW_003291567.1
GL248243.1	NW_003273193.1
GL193256.1	NW_003218206.1
GL211052.1	NW_003236002.1
GL260633.1	NW_003285583.1
GL242788.1	NW_003267738.1
GL262491.1	NW_003287441.1
GL192799.1	NW_003217749.1
GL236455.1	NW_003261405.1
GL218737.1	NW_003243687.1
GL211430.1	NW_003236380.1
GL244754.1	NW_003269704.1
GL242206.1	NW_003267156.1
GL235997.1	NW_003260947.1
GL268193.1	NW_003293143.1
GL237091.1	NW_003262041.1
GL267293.1	NW_003292243.1
GL250761.1	NW_003275711.1
GL209764.1	NW_003234714.1
GL259841.1	NW_003284791.1
GL214802.1	NW_003239752.1
GL213514.1	NW_003238464.1
GL231681.1	NW_003256631.1
GL245183.1	NW_003270133.1
GL218647.1	NW_003243597.1
GL268817.1	NW_003293767.1
GL216538.1	NW_003241488.1
GL258011.1	NW_003282961.1
GL196442.1	NW_003221392.1
GL222802.1	NW_003247752.1
GL194616.1	NW_003219566.1
GL209224.1	NW_003234174.1
GL215780.1	NW_003240730.1
GL229064.1	NW_003254014.1
GL257483.1	NW_003282433.1
GL199167.1	NW_003224117.1
GL214119.1	NW_003239069.1
GL271966.1	NW_003296916.1
GL270607.1	NW_003295557.1
GL273473.1	NW_003298423.1
GL224510.1	NW_003249460.1
GL273178.1	NW_003298128.1
GL256807.1	NW_003281757.1
GL261649.1	NW_003286599.1
GL208022.1	NW_003232972.1
GL200777.1	NW_003225727.1
GL259897.1	NW_003284847.1
GL243574.1	NW_003268524.1
GL225725.1	NW_003250675.1
GL247267.1	NW_003272217.1
GL243360.1	NW_003268310.1
GL193804.1	NW_003218754.1
GL240364.1	NW_003265314.1
GL238965.1	NW_003263915.1
GL226034.1	NW_003250984.1
GL216791.1	NW_003241741.1
GL263432.1	NW_003288382.1
GL202364.1	NW_003227314.1
GL231324.1	NW_003256274.1
GL192661.1	NW_003217611.1
GL218988.1	NW_003243938.1
GL235037.1	NW_003259987.1
GL270122.1	NW_003295072.1
GL246840.1	NW_003271790.1
GL224439.1	NW_003249389.1
GL229005.1	NW_003253955.1
GL236774.1	NW_003261724.1
GL227778.1	NW_003252728.1
GL195261.1	NW_003220211.1
GL196524.1	NW_003221474.1
GL210196.1	NW_003235146.1
GL260273.1	NW_003285223.1
GL198191.1	NW_003223141.1
GL257500.1	NW_003282450.1
GL196937.1	NW_003221887.1
GL255472.1	NW_003280422.1
GL223034.1	NW_003247984.1
GL246017.1	NW_003270967.1
GL245611.1	NW_003270561.1
GL194981.1	NW_003219931.1
GL268694.1	NW_003293644.1
GL258655.1	NW_003283605.1
GL250338.1	NW_003275288.1
GL252238.1	NW_003277188.1
GL213203.1	NW_003238153.1
GL258696.1	NW_003283646.1
GL195203.1	NW_003220153.1
GL253946.1	NW_003278896.1
GL269015.1	NW_003293965.1
GL244657.1	NW_003269607.1
GL202748.1	NW_003227698.1
GL222706.1	NW_003247656.1
GL268339.1	NW_003293289.1
GL222849.1	NW_003247799.1
GL194293.1	NW_003219243.1
GL199305.1	NW_003224255.1
GL228053.1	NW_003253003.1
GL209434.1	NW_003234384.1
GL262192.1	NW_003287142.1
GL226718.1	NW_003251668.1
GL213345.1	NW_003238295.1
GL207137.1	NW_003232087.1
GL216763.1	NW_003241713.1
GL212887.1	NW_003237837.1
GL215224.1	NW_003240174.1
GL216076.1	NW_003241026.1
GL216503.1	NW_003241453.1
GL207659.1	NW_003232609.1
GL242713.1	NW_003267663.1
GL227889.1	NW_003252839.1
GL234103.1	NW_003259053.1
GL208155.1	NW_003233105.1
GL208789.1	NW_003233739.1
GL232648.1	NW_003257598.1
GL255321.1	NW_003280271.1
GL242787.1	NW_003267737.1
GL252406.1	NW_003277356.1
GL215684.1	NW_003240634.1
GL268243.1	NW_003293193.1
GL242624.1	NW_003267574.1
GL202802.1	NW_003227752.1
GL262263.1	NW_003287213.1
GL231717.1	NW_003256667.1
GL244823.1	NW_003269773.1
GL249521.1	NW_003274471.1
GL195857.1	NW_003220807.1
GL207132.1	NW_003232082.1
GL217840.1	NW_003242790.1
GL213601.1	NW_003238551.1
GL262146.1	NW_003287096.1
GL232582.1	NW_003257532.1
GL267246.1	NW_003292196.1
GL246617.1	NW_003271567.1
GL263674.1	NW_003288624.1
GL260271.1	NW_003285221.1
GL196068.1	NW_003221018.1
GL219708.1	NW_003244658.1
GL214746.1	NW_003239696.1
GL202925.1	NW_003227875.1
GL265862.1	NW_003290812.1
GL192553.1	NW_003217503.1
GL203504.1	NW_003228454.1
GL196791.1	NW_003221741.1
GL253298.1	NW_003278248.1
GL258555.1	NW_003283505.1
GL250208.1	NW_003275158.1
GL251524.1	NW_003276474.1
GL231054.1	NW_003256004.1
GL257396.1	NW_003282346.1
GL258824.1	NW_003283774.1
GL213205.1	NW_003238155.1
GL242297.1	NW_003267247.1
GL210564.1	NW_003235514.1
GL198533.1	NW_003223483.1
GL235323.1	NW_003260273.1
GL248377.1	NW_003273327.1
GL228139.1	NW_003253089.1
GL194231.1	NW_003219181.1
GL214032.1	NW_003238982.1
GL230658.1	NW_003255608.1
GL267253.1	NW_003292203.1
GL255102.1	NW_003280052.1
GL210691.1	NW_003235641.1
GL255444.1	NW_003280394.1
GL206827.1	NW_003231777.1
GL259966.1	NW_003284916.1
GL231277.1	NW_003256227.1
GL235921.1	NW_003260871.1
GL261341.1	NW_003286291.1
GL272587.1	NW_003297537.1
GL208018.1	NW_003232968.1
GL236300.1	NW_003261250.1
GL201709.1	NW_003226659.1
GL257934.1	NW_003282884.1
GL269048.1	NW_003293998.1
GL250765.1	NW_003275715.1
GL242224.1	NW_003267174.1
GL226645.1	NW_003251595.1
GL239210.1	NW_003264160.1
GL236951.1	NW_003261901.1
GL224132.1	NW_003249082.1
GL229334.1	NW_003254284.1
GL224496.1	NW_003249446.1
GL251137.1	NW_003276087.1
GL197806.1	NW_003222756.1
GL222611.1	NW_003247561.1
GL222774.1	NW_003247724.1
GL263859.1	NW_003288809.1
GL202085.1	NW_003227035.1
GL208953.1	NW_003233903.1
GL242838.1	NW_003267788.1
GL246784.1	NW_003271734.1
GL268951.1	NW_003293901.1
GL220887.1	NW_003245837.1
GL193466.1	NW_003218416.1
GL204897.1	NW_003229847.1
GL247809.1	NW_003272759.1
GL214205.1	NW_003239155.1
GL204103.1	NW_003229053.1
GL195080.1	NW_003220030.1
GL203810.1	NW_003228760.1
GL258169.1	NW_003283119.1
GL215642.1	NW_003240592.1
GL235457.1	NW_003260407.1
GL208192.1	NW_003233142.1
GL203861.1	NW_003228811.1
GL204718.1	NW_003229668.1
GL197692.1	NW_003222642.1
GL226376.1	NW_003251326.1
GL196331.1	NW_003221281.1
GL246601.1	NW_003271551.1
GL242035.1	NW_003266985.1
GL256333.1	NW_003281283.1
GL220088.1	NW_003245038.1
GL262343.1	NW_003287293.1
GL253822.1	NW_003278772.1
GL271642.1	NW_003296592.1
GL239501.1	NW_003264451.1
GL218152.1	NW_003243102.1
GL212766.1	NW_003237716.1
GL211045.1	NW_003235995.1
GL260845.1	NW_003285795.1
GL230987.1	NW_003255937.1
GL201962.1	NW_003226912.1
GL237207.1	NW_003262157.1
GL233803.1	NW_003258753.1
GL246384.1	NW_003271334.1
GL197341.1	NW_003222291.1
GL231981.1	NW_003256931.1
GL258403.1	NW_003283353.1
GL219056.1	NW_003244006.1
GL212563.1	NW_003237513.1
GL204876.1	NW_003229826.1
GL236529.1	NW_003261479.1
GL207883.1	NW_003232833.1
GL263331.1	NW_003288281.1
GL198204.1	NW_003223154.1
GL206159.1	NW_003231109.1
GL230296.1	NW_003255246.1
GL194790.1	NW_003219740.1
GL252399.1	NW_003277349.1
GL201133.1	NW_003226083.1
GL239151.1	NW_003264101.1
GL264504.1	NW_003289454.1
GL252171.1	NW_003277121.1
GL224548.1	NW_003249498.1
